order_id,order_date,process_group,warehouse_id,picker_id,items_count,processing_time_min,labor_cost,error_flag,on_time_delivery
ORD_1,2024-01-01,B,WH_01,P_11,15,30.23844269050346,18.807574641020064,0,1
ORD_2,2024-01-01,A,WH_01,P_6,4,34.355478502414755,15.212445999208322,0,1
ORD_3,2024-01-01,B,WH_01,P_10,1,28.20981135783017,10.216799388355504,0,1
ORD_4,2024-01-01,B,WH_01,P_20,16,25.744780159571118,14.590332208763074,0,1
ORD_5,2024-01-01,B,WH_01,P_14,3,29.085055548315875,17.08115464280289,0,1
ORD_6,2024-01-01,B,WH_01,P_3,9,30.895963172575023,12.247255609125416,0,1
ORD_7,2024-01-01,B,WH_01,P_10,17,31.112724560515943,11.947890875072444,0,1
ORD_8,2024-01-01,B,WH_01,P_8,18,28.093191580269313,17.204402597371526,0,1
ORD_9,2024-01-01,A,WH_01,P_13,16,33.58091624138126,22.925313348042227,0,0
ORD_10,2024-01-01,A,WH_01,P_19,15,20.745939366760897,13.899653583341106,0,1
ORD_11,2024-01-01,A,WH_01,P_9,8,37.36599398065257,20.264993391734208,0,1
ORD_12,2024-01-01,B,WH_01,P_5,7,26.158974559504575,17.911921613761308,0,1
ORD_13,2024-01-01,A,WH_01,P_14,12,37.00877251538257,18.889684152986913,0,1
ORD_14,2024-01-01,A,WH_01,P_15,1,26.3974229545277,20.352624562961815,0,1
ORD_15,2024-01-01,A,WH_01,P_4,10,23.715697854366486,17.15758112541974,0,1
ORD_16,2024-01-01,B,WH_01,P_7,5,24.327917731632475,11.262365322964161,0,1
ORD_17,2024-01-01,A,WH_01,P_12,19,35.008689989148834,21.474559958796082,0,1
ORD_18,2024-01-01,B,WH_01,P_1,11,23.129785346267482,14.100554636770031,0,1
ORD_19,2024-01-01,A,WH_01,P_12,13,16.06894371461918,19.0365538316663,0,1
ORD_20,2024-01-01,B,WH_01,P_17,15,24.584386606243534,13.575429129003991,0,1
ORD_21,2024-01-01,B,WH_01,P_17,12,26.9072459774418,10.816238445024442,0,1
ORD_22,2024-01-01,A,WH_01,P_1,17,31.613731695194197,19.034707005134187,0,1
ORD_23,2024-01-01,A,WH_01,P_11,2,17.007445150167733,22.44098568351649,0,1
ORD_24,2024-01-01,B,WH_01,P_11,17,22.99086078325153,18.460039297331697,0,1
ORD_25,2024-01-01,A,WH_01,P_3,16,29.343185930566147,19.134679844222557,0,1
ORD_26,2024-01-01,B,WH_01,P_20,4,27.045721728700688,14.086151757918643,0,1
ORD_27,2024-01-01,A,WH_01,P_18,1,34.56807704593656,10.590903404797208,0,1
ORD_28,2024-01-01,A,WH_01,P_17,10,36.881103304218016,14.307407050698135,0,1
ORD_29,2024-01-01,B,WH_01,P_16,1,28.299413971242117,16.954557179443277,0,1
ORD_30,2024-01-01,B,WH_01,P_17,3,25.572553495068348,17.663231172114877,0,1
ORD_31,2024-01-01,B,WH_01,P_3,4,28.131441347494373,17.118503581441598,0,1
ORD_32,2024-01-01,A,WH_01,P_9,18,33.04899807194883,14.349435322922282,0,1
ORD_33,2024-01-01,B,WH_01,P_8,1,26.97571527674485,14.041691734335242,0,1
ORD_34,2024-01-01,A,WH_01,P_14,3,36.93236095996694,23.690378947961843,0,1
ORD_35,2024-01-01,B,WH_01,P_1,6,26.94278276265136,16.033385219059113,0,1
ORD_36,2024-01-01,B,WH_01,P_3,15,19.967973664092256,14.913675859762979,0,1
ORD_37,2024-01-01,B,WH_01,P_5,17,18.08374468917238,14.392163848982461,0,1
ORD_38,2024-01-01,B,WH_01,P_1,17,37.59443106114996,18.86634188867877,1,1
ORD_39,2024-01-01,B,WH_01,P_8,3,28.07046872065102,11.885653053220029,0,1
ORD_40,2024-01-01,B,WH_01,P_1,18,27.29104359223,12.142574255423442,0,1
ORD_41,2024-01-01,A,WH_01,P_18,11,34.6986442309324,23.336773031657884,0,1
ORD_42,2024-01-01,A,WH_01,P_14,13,24.900406271273486,19.484986962575086,0,1
ORD_43,2024-01-01,B,WH_01,P_19,19,21.237173141699927,11.248079016982064,0,1
ORD_44,2024-01-01,A,WH_01,P_12,17,26.64127835822466,16.9955482578158,0,1
ORD_45,2024-01-01,B,WH_01,P_3,5,33.05199316568319,14.621910086269427,0,1
ORD_46,2024-01-01,A,WH_01,P_5,8,19.849144480054356,18.559362944308283,0,1
ORD_47,2024-01-01,B,WH_01,P_16,9,25.157750054566517,15.393004637742695,0,1
ORD_48,2024-01-01,A,WH_01,P_5,8,33.10313308645735,19.733691405296504,0,1
ORD_49,2024-01-01,B,WH_01,P_14,3,23.346292983851733,11.800200666842175,0,1
ORD_50,2024-01-01,B,WH_01,P_16,5,25.596725623295896,13.49006020125563,1,1
ORD_51,2024-01-01,B,WH_01,P_10,16,24.25373546317849,17.74199063610351,0,1
ORD_52,2024-01-01,B,WH_01,P_1,5,25.378022762163003,16.311522501576274,0,1
ORD_53,2024-01-01,B,WH_01,P_20,5,31.863164334493955,18.86118709676948,0,1
ORD_54,2024-01-01,B,WH_01,P_5,12,34.93008408072676,11.905461252932877,0,1
ORD_55,2024-01-01,B,WH_01,P_12,3,29.507133785130407,17.651596447053528,0,1
ORD_56,2024-01-01,A,WH_01,P_2,14,29.081403403685837,18.62279478385716,0,1
ORD_57,2024-01-01,A,WH_01,P_4,9,43.70768051441453,17.87974458788099,0,0
ORD_58,2024-01-01,A,WH_01,P_16,4,35.310422062790444,15.869616126217549,0,0
ORD_59,2024-01-01,B,WH_01,P_12,18,29.460705169683308,11.181368435413972,0,1
ORD_60,2024-01-01,A,WH_01,P_20,13,26.82430927060671,20.371781968272437,0,1
